

 Begin Fly'm 
 Ions Flown Separately, Comp Quality(3) 
 Number of Ions to Fly = 0 


------ Begin Next Fly'm ------

Ion(215) TOF(1.97228 usec) Mass(5.8388 amu) Charge(-1 e) 

Ion(216) TOF(2.61851 usec) Mass(9.51906 amu) Charge(-1 e) 

Ion(217) TOF(2.25602 usec) Mass(7.25553 amu) Charge(-1 e) 

Ion(218) TOF(2.13393 usec) Mass(6.79574 amu) Charge(-1 e) 

Ion(219) TOF(2.20318 usec) Mass(7.28629 amu) Charge(-1 e) 

Ion(220) TOF(1.47414 usec) Mass(3.29374 amu) Charge(-1 e) 

Ion(221) TOF(2.50425 usec) Mass(9.09497 amu) Charge(-1 e) 

Ion(222) TOF(1.25427 usec) Mass(2.22474 amu) Charge(-1 e) 

Ion(223) TOF(1.07512 usec) Mass(1.63118 amu) Charge(-1 e) 

Ion(224) TOF(2.35113 usec) Mass(8.12018 amu) Charge(-1 e) 

Ion(225) TOF(2.23036 usec) Mass(7.13385 amu) Charge(-1 e) 

Ion(226) TOF(2.52817 usec) Mass(8.95105 amu) Charge(-1 e) 

Ion(227) TOF(1.90288 usec) Mass(5.2436 amu) Charge(-1 e) 

Ion(228) TOF(2.19512 usec) Mass(7.01135 amu) Charge(-1 e) 

Ion(229) TOF(2.24595 usec) Mass(7.64418 amu) Charge(-1 e) 

Ion(230) TOF(2.007 usec) Mass(5.9635 amu) Charge(-1 e) 

Ion(231) TOF(2.51825 usec) Mass(9.112 amu) Charge(-1 e) 

Ion(232) TOF(2.55217 usec) Mass(9.51878 amu) Charge(-1 e) 

Ion(233) TOF(1.86447 usec) Mass(5.15049 amu) Charge(-1 e) 

Ion(234) TOF(1.7802 usec) Mass(4.63329 amu) Charge(-1 e) 

Ion(235) TOF(1.32337 usec) Mass(2.45738 amu) Charge(-1 e) 

Ion(236) TOF(1.44769 usec) Mass(2.91278 amu) Charge(-1 e) 

Ion(237) TOF(1.39775 usec) Mass(2.81912 amu) Charge(-1 e) 

Ion(238) TOF(2.13667 usec) Mass(6.54854 amu) Charge(-1 e) 

Ion(239) TOF(2.31143 usec) Mass(7.86364 amu) Charge(-1 e) 

Ion(240) TOF(2.24753 usec) Mass(7.53185 amu) Charge(-1 e) 

Ion(241) TOF(1.87698 usec) Mass(5.25843 amu) Charge(-1 e) 

Ion(242) TOF(2.15765 usec) Mass(6.45543 amu) Charge(-1 e) 

Ion(243) TOF(2.47826 usec) Mass(8.75768 amu) Charge(-1 e) 

Ion(244) TOF(1.35456 usec) Mass(2.76061 amu) Charge(-1 e) 

Ion(245) TOF(2.4637 usec) Mass(9.00955 amu) Charge(-1 e) 

Ion(246) TOF(1.99125 usec) Mass(5.82919 amu) Charge(-1 e) 

Ion(247) TOF(2.56083 usec) Mass(9.18891 amu) Charge(-1 e) 

Ion(248) TOF(2.47365 usec) Mass(8.61074 amu) Charge(-1 e) 

Ion(249) TOF(2.29879 usec) Mass(7.33518 amu) Charge(-1 e) 

Ion(250) TOF(1.14103 usec) Mass(1.81219 amu) Charge(-1 e) 

Ion(251) TOF(2.21333 usec) Mass(7.22806 amu) Charge(-1 e) 

Ion(252) TOF(1.67986 usec) Mass(4.10263 amu) Charge(-1 e) 

Ion(253) TOF(2.20444 usec) Mass(6.78558 amu) Charge(-1 e) 

Ion(254) TOF(2.4839 usec) Mass(9.22077 amu) Charge(-1 e) 

Ion(255) TOF(1.48594 usec) Mass(3.14405 amu) Charge(-1 e) 

Ion(256) TOF(1.12416 usec) Mass(1.80642 amu) Charge(-1 e) 

Ion(257) TOF(2.16224 usec) Mass(7.11682 amu) Charge(-1 e) 

Ion(258) TOF(1.9127 usec) Mass(5.23893 amu) Charge(-1 e) 

Ion(259) TOF(2.61688 usec) Mass(9.73412 amu) Charge(-1 e) 

Ion(260) TOF(2.26747 usec) Mass(7.79333 amu) Charge(-1 e) 

Ion(261) TOF(1.90471 usec) Mass(5.32243 amu) Charge(-1 e) 

Ion(262) TOF(1.37306 usec) Mass(2.72271 amu) Charge(-1 e) 

Ion(263) TOF(2.62769 usec) Mass(9.80526 amu) Charge(-1 e) 

Ion(264) TOF(0.93634 usec) Mass(1.27989 amu) Charge(-1 e) 

Ion(265) TOF(2.26231 usec) Mass(7.21488 amu) Charge(-1 e) 

Ion(266) TOF(1.73499 usec) Mass(4.20206 amu) Charge(-1 e) 

Ion(267) TOF(1.92475 usec) Mass(5.26283 amu) Charge(-1 e) 

Ion(268) TOF(2.49738 usec) Mass(8.78433 amu) Charge(-1 e) 

Ion(269) TOF(1.26805 usec) Mass(2.30576 amu) Charge(-1 e) 

Ion(270) TOF(1.22735 usec) Mass(2.12009 amu) Charge(-1 e) 

Ion(271) TOF(1.22018 usec) Mass(2.06845 amu) Charge(-1 e) 

Ion(272) TOF(1.72283 usec) Mass(4.19904 amu) Charge(-1 e) 

Ion(273) TOF(1.86488 usec) Mass(5.04309 amu) Charge(-1 e) 

Ion(274) TOF(2.40031 usec) Mass(8.09876 amu) Charge(-1 e) 

Ion(275) TOF(2.0167 usec) Mass(6.19916 amu) Charge(-1 e) 

Ion(276) TOF(1.42485 usec) Mass(2.99847 amu) Charge(-1 e) 

Ion(277) TOF(2.58959 usec) Mass(9.70528 amu) Charge(-1 e) 

Ion(278) TOF(2.25572 usec) Mass(7.63732 amu) Charge(-1 e) 

Ion(279) TOF(2.15506 usec) Mass(6.73833 amu) Charge(-1 e) 

Ion(280) TOF(2.56228 usec) Mass(9.85278 amu) Charge(-1 e) 

Ion(281) TOF(1.23653 usec) Mass(2.1146 amu) Charge(-1 e) 

Ion(282) TOF(2.31374 usec) Mass(7.5324 amu) Charge(-1 e) 

Ion(283) TOF(2.50163 usec) Mass(9.02795 amu) Charge(-1 e) 

Ion(284) TOF(1.39756 usec) Mass(2.89575 amu) Charge(-1 e) 

Ion(285) TOF(2.28042 usec) Mass(7.71889 amu) Charge(-1 e) 

Ion(286) TOF(1.33198 usec) Mass(2.56011 amu) Charge(-1 e) 

Ion(287) TOF(1.97085 usec) Mass(5.74734 amu) Charge(-1 e) 

Ion(288) TOF(1.10664 usec) Mass(1.71166 amu) Charge(-1 e) 

Ion(289) TOF(1.15865 usec) Mass(1.81768 amu) Charge(-1 e) 

Ion(290) TOF(2.09594 usec) Mass(6.37962 amu) Charge(-1 e) 

Ion(291) TOF(1.34985 usec) Mass(2.56368 amu) Charge(-1 e) 

Ion(292) TOF(1.94132 usec) Mass(5.35621 amu) Charge(-1 e) 

Ion(293) TOF(1.28398 usec) Mass(2.41343 amu) Charge(-1 e) 

Ion(294) TOF(1.11069 usec) Mass(1.70919 amu) Charge(-1 e) 

Ion(295) TOF(1.90611 usec) Mass(5.54601 amu) Charge(-1 e) 

Ion(296) TOF(2.52722 usec) Mass(9.3007 amu) Charge(-1 e) 

Ion(297) TOF(1.6989 usec) Mass(4.08533 amu) Charge(-1 e) 

Ion(298) TOF(1.84319 usec) Mass(4.74453 amu) Charge(-1 e) 

Ion(299) TOF(1.10959 usec) Mass(1.79351 amu) Charge(-1 e) 

Ion(300) TOF(2.37814 usec) Mass(8.34129 amu) Charge(-1 e) 

Ion(301) TOF(1.50766 usec) Mass(3.16437 amu) Charge(-1 e) 

Ion(302) TOF(1.73266 usec) Mass(4.34434 amu) Charge(-1 e) 

Ion(303) TOF(1.7821 usec) Mass(4.41246 amu) Charge(-1 e) 

Ion(304) TOF(2.24478 usec) Mass(7.18741 amu) Charge(-1 e) 

Ion(305) TOF(1.91848 usec) Mass(5.52486 amu) Charge(-1 e) 

Ion(306) TOF(1.65919 usec) Mass(4.17789 amu) Charge(-1 e) 

Ion(307) TOF(1.13461 usec) Mass(1.75753 amu) Charge(-1 e) 

Ion(308) TOF(1.45743 usec) Mass(2.96716 amu) Charge(-1 e) 

Ion(309) TOF(2.17527 usec) Mass(6.95669 amu) Charge(-1 e) 

Ion(310) TOF(2.31906 usec) Mass(7.89166 amu) Charge(-1 e) 

Ion(311) TOF(1.43814 usec) Mass(3.01495 amu) Charge(-1 e) 

Ion(312) TOF(2.33906 usec) Mass(7.95785 amu) Charge(-1 e) 

Ion(313) TOF(1.90218 usec) Mass(5.41389 amu) Charge(-1 e) 

Ion(314) TOF(2.00882 usec) Mass(5.68526 amu) Charge(-1 e) 

Ion(315) TOF(2.28388 usec) Mass(7.94275 amu) Charge(-1 e) 

Ion(316) TOF(2.52455 usec) Mass(9.05762 amu) Charge(-1 e) 

Ion(317) TOF(2.28806 usec) Mass(7.47554 amu) Charge(-1 e) 

Ion(318) TOF(1.94284 usec) Mass(5.48585 amu) Charge(-1 e) 

Ion(319) TOF(2.24785 usec) Mass(7.4846 amu) Charge(-1 e) 

Ion(320) TOF(1.74519 usec) Mass(4.35917 amu) Charge(-1 e) 

Ion(321) TOF(1.183 usec) Mass(1.93771 amu) Charge(-1 e) 

Ion(322) TOF(2.57542 usec) Mass(9.86651 amu) Charge(-1 e) 

Ion(323) TOF(2.46284 usec) Mass(9.19221 amu) Charge(-1 e) 

Ion(324) TOF(2.31592 usec) Mass(7.47719 amu) Charge(-1 e) 

Ion(325) TOF(1.05286 usec) Mass(1.49962 amu) Charge(-1 e) 

Ion(326) TOF(2.19971 usec) Mass(7.1204 amu) Charge(-1 e) 

Ion(327) TOF(1.04486 usec) Mass(1.47078 amu) Charge(-1 e) 

