

 Begin Fly'm 
 Ions Flown Separately, Comp Quality(3) 
 Number of Ions to Fly = 0 


------ Begin Next Fly'm ------

Ion(252) TOF(2.46416 usec) Mass(16 amu) Charge(-1 e) 

Ion(253) TOF(2.58886 usec) Mass(16 amu) Charge(-1 e) 

Ion(254) TOF(2.33241 usec) Mass(16 amu) Charge(-1 e) 

Ion(255) TOF(2.29719 usec) Mass(16 amu) Charge(-1 e) 

Ion(256) TOF(2.23798 usec) Mass(16 amu) Charge(-1 e) 

Ion(257) TOF(2.50835 usec) Mass(16 amu) Charge(-1 e) 

Ion(258) TOF(2.37119 usec) Mass(16 amu) Charge(-1 e) 

Ion(259) TOF(2.43151 usec) Mass(16 amu) Charge(-1 e) 

Ion(260) TOF(2.26185 usec) Mass(16 amu) Charge(-1 e) 

Ion(261) TOF(2.35472 usec) Mass(16 amu) Charge(-1 e) 

Ion(262) TOF(2.415 usec) Mass(16 amu) Charge(-1 e) 

Ion(263) TOF(2.25709 usec) Mass(16 amu) Charge(-1 e) 

Ion(264) TOF(2.23611 usec) Mass(16 amu) Charge(-1 e) 

Ion(265) TOF(2.39325 usec) Mass(16 amu) Charge(-1 e) 

Ion(266) TOF(2.45348 usec) Mass(16 amu) Charge(-1 e) 

Ion(267) TOF(2.47485 usec) Mass(16 amu) Charge(-1 e) 

Ion(268) TOF(2.65677 usec) Mass(16 amu) Charge(-1 e) 

Ion(269) TOF(2.62269 usec) Mass(16 amu) Charge(-1 e) 

Ion(270) TOF(2.15518 usec) Mass(16 amu) Charge(-1 e) 

Ion(271) TOF(2.18357 usec) Mass(16 amu) Charge(-1 e) 

Ion(272) TOF(2.21428 usec) Mass(16 amu) Charge(-1 e) 

Ion(273) TOF(2.56247 usec) Mass(16 amu) Charge(-1 e) 

Ion(274) TOF(2.74817 usec) Mass(16 amu) Charge(-1 e) 

Ion(275) TOF(2.46508 usec) Mass(16 amu) Charge(-1 e) 

Ion(276) TOF(2.36344 usec) Mass(16 amu) Charge(-1 e) 

Ion(277) TOF(2.73355 usec) Mass(16 amu) Charge(-1 e) 

Ion(278) TOF(2.20466 usec) Mass(16 amu) Charge(-1 e) 

Ion(279) TOF(2.3863 usec) Mass(16 amu) Charge(-1 e) 

Ion(280) TOF(2.42239 usec) Mass(16 amu) Charge(-1 e) 

Ion(281) TOF(2.24865 usec) Mass(16 amu) Charge(-1 e) 

Ion(282) TOF(2.28195 usec) Mass(16 amu) Charge(-1 e) 

Ion(283) TOF(2.59354 usec) Mass(16 amu) Charge(-1 e) 

Ion(284) TOF(2.28572 usec) Mass(16 amu) Charge(-1 e) 

Ion(285) TOF(2.33827 usec) Mass(16 amu) Charge(-1 e) 

Ion(286) TOF(2.34529 usec) Mass(16 amu) Charge(-1 e) 

Ion(287) TOF(2.69173 usec) Mass(16 amu) Charge(-1 e) 

Ion(288) TOF(2.21609 usec) Mass(16 amu) Charge(-1 e) 

Ion(289) TOF(2.19239 usec) Mass(16 amu) Charge(-1 e) 

Ion(290) TOF(2.41171 usec) Mass(16 amu) Charge(-1 e) 

Ion(291) TOF(2.62963 usec) Mass(16 amu) Charge(-1 e) 

Ion(292) TOF(2.35097 usec) Mass(16 amu) Charge(-1 e) 

Ion(293) TOF(2.32898 usec) Mass(16 amu) Charge(-1 e) 

Ion(294) TOF(2.16432 usec) Mass(16 amu) Charge(-1 e) 

Ion(295) TOF(2.27434 usec) Mass(16 amu) Charge(-1 e) 

Ion(296) TOF(2.4235 usec) Mass(16 amu) Charge(-1 e) 

Ion(297) TOF(2.34664 usec) Mass(16 amu) Charge(-1 e) 

Ion(298) TOF(2.32282 usec) Mass(16 amu) Charge(-1 e) 

Ion(299) TOF(2.41291 usec) Mass(16 amu) Charge(-1 e) 

Ion(300) TOF(2.21189 usec) Mass(16 amu) Charge(-1 e) 

Ion(301) TOF(2.65246 usec) Mass(16 amu) Charge(-1 e) 

Ion(302) TOF(2.33968 usec) Mass(16 amu) Charge(-1 e) 

Ion(303) TOF(2.45311 usec) Mass(16 amu) Charge(-1 e) 

Ion(304) TOF(2.44977 usec) Mass(16 amu) Charge(-1 e) 

Ion(305) TOF(2.56097 usec) Mass(16 amu) Charge(-1 e) 

Ion(306) TOF(2.64067 usec) Mass(16 amu) Charge(-1 e) 

Ion(307) TOF(2.61591 usec) Mass(16 amu) Charge(-1 e) 

Ion(308) TOF(2.31535 usec) Mass(16 amu) Charge(-1 e) 

