

 Begin Fly'm 
 Ions Flown Separately, Comp Quality(3) 
 Number of Ions to Fly = 0 


------ Begin Next Fly'm ------

Ion(150) TOF(1.4524 usec) Mass(5 amu) Charge(-1 e) 

Ion(151) TOF(0.762106 usec) Mass(1 amu) Charge(-1 e) 

Ion(152) TOF(1.04647 usec) Mass(2 amu) Charge(-1 e) 

Ion(153) TOF(1.16665 usec) Mass(3 amu) Charge(-1 e) 

Ion(154) TOF(1.50189 usec) Mass(4 amu) Charge(-1 e) 

Ion(155) TOF(1.61817 usec) Mass(5 amu) Charge(-1 e) 

Ion(156) TOF(0.878334 usec) Mass(1 amu) Charge(-1 e) 

Ion(157) TOF(0.975672 usec) Mass(2 amu) Charge(-1 e) 

Ion(158) TOF(1.24116 usec) Mass(3 amu) Charge(-1 e) 

Ion(159) TOF(1.50786 usec) Mass(4 amu) Charge(-1 e) 

Ion(160) TOF(1.73873 usec) Mass(5 amu) Charge(-1 e) 

Ion(161) TOF(0.765847 usec) Mass(1 amu) Charge(-1 e) 

Ion(162) TOF(1.07758 usec) Mass(2 amu) Charge(-1 e) 

Ion(163) TOF(1.33136 usec) Mass(3 amu) Charge(-1 e) 

Ion(164) TOF(1.48679 usec) Mass(4 amu) Charge(-1 e) 

Ion(165) TOF(1.72014 usec) Mass(5 amu) Charge(-1 e) 

Ion(166) TOF(0.74928 usec) Mass(1 amu) Charge(-1 e) 

Ion(167) TOF(1.22053 usec) Mass(2 amu) Charge(-1 e) 

Ion(168) TOF(1.35462 usec) Mass(3 amu) Charge(-1 e) 

Ion(169) TOF(1.72485 usec) Mass(4 amu) Charge(-1 e) 

Ion(170) TOF(1.48907 usec) Mass(5 amu) Charge(-1 e) 

Ion(171) TOF(0.745265 usec) Mass(1 amu) Charge(-1 e) 

Ion(172) TOF(1.00994 usec) Mass(2 amu) Charge(-1 e) 

Ion(173) TOF(1.14271 usec) Mass(3 amu) Charge(-1 e) 

Ion(174) TOF(1.51931 usec) Mass(4 amu) Charge(-1 e) 

Ion(175) TOF(1.75375 usec) Mass(5 amu) Charge(-1 e) 

Ion(176) TOF(0.705176 usec) Mass(1 amu) Charge(-1 e) 

Ion(177) TOF(1.15699 usec) Mass(2 amu) Charge(-1 e) 

Ion(178) TOF(1.19029 usec) Mass(3 amu) Charge(-1 e) 

Ion(179) TOF(1.39567 usec) Mass(4 amu) Charge(-1 e) 

Ion(180) TOF(1.5786 usec) Mass(5 amu) Charge(-1 e) 

Ion(181) TOF(0.728145 usec) Mass(1 amu) Charge(-1 e) 

Ion(182) TOF(0.960531 usec) Mass(2 amu) Charge(-1 e) 

Ion(183) TOF(1.22266 usec) Mass(3 amu) Charge(-1 e) 

Ion(184) TOF(1.46956 usec) Mass(4 amu) Charge(-1 e) 

Ion(185) TOF(1.5034 usec) Mass(5 amu) Charge(-1 e) 

Ion(186) TOF(0.685894 usec) Mass(1 amu) Charge(-1 e) 

Ion(187) TOF(1.1457 usec) Mass(2 amu) Charge(-1 e) 

Ion(188) TOF(1.18183 usec) Mass(3 amu) Charge(-1 e) 

Ion(189) TOF(1.32919 usec) Mass(4 amu) Charge(-1 e) 

Ion(190) TOF(1.79442 usec) Mass(5 amu) Charge(-1 e) 

Ion(191) TOF(0.861442 usec) Mass(1 amu) Charge(-1 e) 

Ion(192) TOF(0.938896 usec) Mass(2 amu) Charge(-1 e) 

Ion(193) TOF(1.30955 usec) Mass(3 amu) Charge(-1 e) 

Ion(194) TOF(1.36817 usec) Mass(4 amu) Charge(-1 e) 

Ion(195) TOF(1.52076 usec) Mass(5 amu) Charge(-1 e) 

Ion(196) TOF(0.856602 usec) Mass(1 amu) Charge(-1 e) 

Ion(197) TOF(1.01805 usec) Mass(2 amu) Charge(-1 e) 

Ion(198) TOF(1.45474 usec) Mass(3 amu) Charge(-1 e) 

Ion(199) TOF(1.38062 usec) Mass(4 amu) Charge(-1 e) 

Ion(200) TOF(1.64065 usec) Mass(5 amu) Charge(-1 e) 

Ion(201) TOF(0.859794 usec) Mass(1 amu) Charge(-1 e) 

Ion(202) TOF(1.04124 usec) Mass(2 amu) Charge(-1 e) 

Ion(203) TOF(1.13092 usec) Mass(3 amu) Charge(-1 e) 

Ion(204) TOF(1.47089 usec) Mass(4 amu) Charge(-1 e) 

Ion(205) TOF(1.67465 usec) Mass(5 amu) Charge(-1 e) 

Ion(206) TOF(0.747983 usec) Mass(1 amu) Charge(-1 e) 

Ion(207) TOF(1.15934 usec) Mass(2 amu) Charge(-1 e) 

Ion(208) TOF(1.13026 usec) Mass(3 amu) Charge(-1 e) 

Ion(209) TOF(1.34937 usec) Mass(4 amu) Charge(-1 e) 

Ion(210) TOF(1.66123 usec) Mass(5 amu) Charge(-1 e) 

